2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.875601 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.880992 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:23.885161 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.892907 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:23.954660 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.954660 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.954660 | 20.42.65.89 -> 192.168.1.5 | TLS | Length: 153
2025-02-09 00:01:23.954660 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.954754 | 192.168.1.5 -> 20.42.65.89 | TCP | Length: 54
2025-02-09 00:01:23.958090 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:23.970210 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:23.974236 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.035825 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.035825 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.035825 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.040140 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.215142 | 192.168.1.5 -> 104.18.32.47 | TLS | Length: 1454
2025-02-09 00:01:24.215142 | 192.168.1.5 -> 104.18.32.47 | TCP | Length: 1454
2025-02-09 00:01:24.215142 | 192.168.1.5 -> 104.18.32.47 | TCP | Length: 1454
2025-02-09 00:01:24.215142 | 192.168.1.5 -> 104.18.32.47 | TCP | Length: 1454
2025-02-09 00:01:24.215142 | 192.168.1.5 -> 104.18.32.47 | TLS | Length: 197
2025-02-09 00:01:24.215261 | 192.168.1.5 -> 104.18.32.47 | TLS | Length: 93
2025-02-09 00:01:24.215276 | 192.168.1.5 -> 104.18.32.47 | TLS | Length: 307
2025-02-09 00:01:24.224996 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.224996 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.224996 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.228364 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 75
2025-02-09 00:01:24.228898 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.229400 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.229968 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.276096 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.278796 | 192.168.1.5 -> 203.76.190.20 | DATA | Length: 80
2025-02-09 00:01:24.285570 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.285570 | 104.18.32.47 -> 192.168.1.5 | TCP | Length: 56
2025-02-09 00:01:24.292262 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.292262 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.292262 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.292262 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
2025-02-09 00:01:24.292262 | 203.76.190.20 -> 192.168.1.5 | DATA | Length: 1292
